,1,3,5,7,9
2021-06-10T05:37:15+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:37:18+00:00,-0.47,19.94,50.00,21.50,21.01
2021-06-10T05:37:22+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:37:24+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:37:27+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:37:30+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:37:33+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:37:36+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:37:39+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:37:42+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:37:45+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:37:48+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:37:51+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:37:54+00:00,-0.47,19.94,50.00,21.50,21.01
2021-06-10T05:37:57+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:00+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:03+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:06+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:09+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:12+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:15+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:18+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:22+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:24+00:00,-0.47,19.94,50.00,21.50,21.01
2021-06-10T05:38:27+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:30+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:34+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:38+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:38:39+00:00,-0.24,19.94,50.00,21.50,21.01
